,euclidean_distance,hdf5_idx
0,878.66,16991
1,814.12,17762
2,810.01,7428
3,772.12,18226
4,764.46,18113
5,749.31,1420
6,741.3,5500
7,738.85,5421
8,738.78,2117
9,734.45,15492
10,727.99,166
11,724.72,17209
12,724.12,8929
13,719.79,1682
14,717.61,7550
15,712.33,10577
16,711.18,9649
17,708.2,15200
18,695.04,8802
19,690.31,15559
20,688.85,16081
21,685.4,15435
22,684.59,7572
23,679.03,12326
24,678.43,8726
25,676.28,17071
26,674.45,5255
27,674.28,15336
28,673.33,10855
29,672.39,16986
30,672.23,5332
31,671.74,11831
32,671.53,3800
33,671.33,1914
34,668.78,10434
35,666.8,16765
36,666.78,12507
37,666.72,15016
38,663.95,9030
39,663.59,10272
40,662.08,17932
41,661.72,10746
42,660.82,13668
43,660.7,6003
44,658.66,18901
45,658.36,3195
46,656.96,8511
47,656.68,10271
48,656.47,16191
49,655.87,17858
50,653.13,7293
51,652.75,9310
52,652.75,11971
53,652.17,3550
54,651.94,14622
55,651.75,1857
56,649.82,13641
57,649.08,2209
58,646.79,14695
59,646.68,4110
60,646.32,9258
61,645.22,13520
62,644.87,13979
63,642.77,6349
64,640.44,6975
65,639.34,17013
66,638.87,17739
67,637.6,5088
68,637.12,18729
69,636.55,7584
70,634.12,11514
71,633.71,9054
72,633.39,7106
73,633.07,10978
74,632.44,3689
75,631.8,16417
76,630.66,2811
77,628.81,692
78,628.66,9896
79,627.68,17293
80,625.79,15265
81,625.66,15855
82,625.13,11358
83,624.47,10899
84,624.45,17416
85,624.33,12697
86,623.93,18504
87,623.43,4315
88,623.42,11441
89,622.15,13920
90,622.1,2577
91,622.1,15072
92,621.13,10048
93,620.63,8278
94,620.52,10220
95,619.64,15421
96,619.56,13012
97,619.36,924
98,619.3,2752
99,619.3,14609
100,618.68,116
101,617.7,13759
102,617.56,9980
103,617.3,12648
104,616.55,9777
105,616.5,6767
106,616.32,2666
107,615.7,13215
108,615.28,8690
109,615.2,12935
110,614.63,12800
111,614.6,15897
112,614.17,13392
113,614.15,11657
114,613.54,9317
115,613.11,8811
116,611.95,1769
117,611.83,17149
118,610.26,9036
119,608.98,18583
120,608.66,5351
121,608.31,232
122,607.56,16413
123,607.18,2591
124,607.18,10066
125,606.78,2501
126,605.3,12873
127,604.81,14145
128,604.5,8502
129,604.08,6845
130,603.63,13664
131,603.4,16646
132,603.27,16774
133,603.19,2537
134,603.13,16202
135,603.04,9931
136,602.36,14701
137,602.29,9358
138,602.24,8181
139,602.2,2487
140,601.93,10486
141,601.36,9971
142,601.34,15514
143,600.85,17223
144,598.77,18648
145,598.47,10531
146,597.7,16753
147,596.86,10149
148,596.84,2200
149,596.27,15267
150,596.13,9752
151,595.87,18679
152,595.65,2927
153,595.62,6526
154,594.46,11627
